,House_Title,Address,Latitude,Longitude,Area,EMI,Price,Price Per Unit
0,4 BHK In Independent House  For Sale  In Hebbagodi ,"Independent House, Bangalore - Hosur Road, Near  National Public School",12.829823891414701,77.68164656245052,"1,800 sqft","₹77,374/Month",₹1.35 Crores,"₹7,500 per sq.ft."
1,"4 BHK In Independent House  For Sale  In Electronics City Phase 1, Electronic City ","Independent House, brand factory",12.843058369785913,77.65648136441803,"2,000 sqft","₹39,546/Month",₹69 Lacs,"₹3,450 per sq.ft."
2,4 BHK Flat  For Sale  In Electronic City ,"Standalone Building, YOUNG LIFE PG FOR LADIES, Konappana Agrahara, Electronic City, Bengaluru, Karnataka, India",12.854834417502959,77.67018639855333,"1,120 sqft","₹28,657/Month",₹50 Lacs,"₹4,464 per sq.ft."
3,4 BHK Apartment  For Sale  In Nisarga Residency In Electronic City Phase Ii ,"Nisarga Residency  Near Thali Resturant, Ananth Nagar, Electronic City Phase II, Bangalore, Karnataka, INDIA.",12.832952685689458,77.68821822701837,"2,000 sqft","₹45,851/Month",₹80 Lacs,"₹4,000 per sq.ft."
4,4 BHK Flat  For Sale  In Sobha Silicon Oasis  In Hosa Road ,"Sobha Silicon Oasis Naganathapura, Rayasandra Bengaluru, Karnataka 560100 India",12.868829749760211,77.66063471401671,"1,879 sqft","₹91,703/Month",₹1.6 Crores,"₹8,515 per sq.ft."
5,4 BHK For Sale  In Daadys Garden In Electronic City ,"Daadys Garden  Kammasandra Rd, Kammasandra, Electronic City, Bengaluru, Karnataka 560100, India",12.8281063,77.69044819999999,"2,600 sqft","₹85,971/Month",₹1.5 Crores,"₹5,769 per sq.ft."
6,"4 BHK Flat  For Sale  In , Electronic City ","Standalone Building, 16th Cross Road Neeladri Nagar, near by brand factory",12.841502,77.644561,"2,000 sqft","₹39,546/Month",₹69 Lacs,"₹3,450 per sq.ft."
7,"4 BHK Flat  For Sale  In Hosa Road, Parappana Agrahara ","Standalone Building, 11th cross.anjanadri lay out",12.8705558,77.6557601,"3,000 sqft","₹71,643/Month",₹1.25 Crores,"₹4,167 per sq.ft."
8,4 BHK In Independent House  For Sale  In Electronic City ,"Independent House, surya nagar face 1",12.844874538767426,77.65965393966442,"3,000 sqft",₹1.43 Lacs/Month,₹2.5 Crores,"₹8,333 per sq.ft."
9,4 BHK In Independent House  For Sale  In Electronic City ,"Independent House, Hosur Rd,Near Infosys Limited",12.848306959164324,77.66554615767213,"1,200 sqft","₹42,985/Month",₹75 Lacs,"₹6,250 per sq.ft."
10,4 BHK Apartment  For Sale  In Gopalan Gardenia In Electronic City ,"Gopalan Gardenia  Gopalan gardenia, Veerasandra Main Rd, Veer Sandra, Electronic City, Bengaluru, Karnataka 560100, India",12.837146921057279,77.67667134296266,"2,650 sqft","₹68,777/Month",₹1.2 Crores,"₹4,528 per sq.ft."
11,4 BHK For Sale  In Gpr Royale In Gpr Royale ,6th Cross,12.8426187,77.6849216,"3,100 sqft","₹85,971/Month",₹1.5 Crores,"₹4,839 per sq.ft."
12,4 BHK In Independent House  For Sale  In Sarjapura ,"Independent House,  Shantipura Village , S.P Layout , near  Shantipura Panchayat Office",12.84639692469994,77.68442113304816,"1,100 sqft","₹40,120/Month",₹70 Lacs,"₹6,364 per sq.ft."
13,4 BHK Flat  For Sale  In Heena Enclave In Electronic City ," Neeladri Nagar,Near Pioneer Sun Blossom",12.8348947,77.648506,"2,350 sqft","₹71,643/Month",₹1.25 Crores,"₹5,319 per sq.ft."
14,4 BHK For Sale  In Deccan Palms Park In Electronic City ,"Deccan Palms Park  Deccan Palms Villas, Deccan Palms Road, Shree Ananth Nagar Layout, Glass Factory Layout, Electronic City, Bengaluru, Karnataka 560100, India",12.835305,77.69654799999999,"3,000 sqft","₹85,971/Month",₹1.5 Crores,"₹5,000 per sq.ft."
15,4 BHK In Independent House  For Sale  In Electronic City Phase Ii ,"Independent House, Industrial Area Near Tech Mahindra",12.849111935564254,77.67800959629517,"1,500 sqft","₹57,314/Month",₹1 Crore,"₹6,667 per sq.ft."
